Año,REGION,Tasa.Actividad,Tasa.Empleo,Tasa.Desempleo,Tasa.Informalidad,Tasa.Subocupados,PromedioProporcion
2011,Cuyo,41.8148125432609,40.5700241948303,2.97690763803557,30.7396646754495,5.13452958423571,0.91981718464351
2012,Cuyo,41.9115857981059,40.2673860027873,3.92301976651259,30.5045653162923,5.19681573166823,0.920259189443921
2013,Cuyo,42.0390411972352,39.985931734859,4.88381610023786,30.3254697710403,4.57891803786993,0.916572356215213
2014,Cuyo,43.2625568947797,41.2433761796073,4.66727086908733,33.8757835458981,6.33088438522404,0.915859340659341
2015,Cuyo,42.16502014593745,40.3800646330098,4.221662387264785,34.1210825264793,7.332451544994766,0.923567968202011
2016,Cuyo,41.0674833970952,39.5167530864123,3.77605390544224,34.3663815070605,8.33401870476549,0.931276595744681
2017,Cuyo,43.4740938001858,42.1028212281484,3.15422922520248,31.6423831704187,9.39818654168025,0.904674868189807
2018,Cuyo,44.5442032733773,42.4522304126769,4.69639752643361,34.4561070513429,11.308625159453,0.919393939393939
2019,Cuyo,46.9559003023701,44.2723446358827,5.71505529487621,34.4561070513429,16.7178954218298,0.891969514640995
2011,Gran Buenos Aires,48.4707736644883,44.7465091610956,7.68352601337011,29.6310885805809,6.28206203742079,0.918579676674365
2012,Gran Buenos Aires,48.8299738640304,45.0496606014097,7.74178842107763,30.594099383443,6.94389565379397,0.917934086054318
2013,Gran Buenos Aires,47.1950890669437,44.1231451874977,6.50903291037044,28.5249926409339,5.08994047010875,0.922017067494182
2014,Gran Buenos Aires,46.4429958755123,43.1033278957565,7.19089696260686,28.88365981714,6.34045251083488,0.918890646181654
2015,Gran Buenos Aires,46.69967449926115,43.0313342681805,7.85154187076942,27.7381379805604,9.03646173535714,0.9278469349108405
2016,Gran Buenos Aires,46.95635312301,42.9593406406045,8.51218677893198,26.5926161439808,11.7324709598794,0.936803223640027
2017,Gran Buenos Aires,47.8733731717229,43.8332364782057,8.43921459017539,28.4112305073259,10.5982251414995,0.933272849462366
2018,Gran Buenos Aires,47.7371203854681,42.7485218227161,10.4501455522872,27.8784945088959,12.7639438924797,0.923649465364947
2019,Gran Buenos Aires,48.6791546182267,43.8323953706316,9.95653947897522,27.8784945088959,12.7040065389896,0.915866443274294
2011,NEA,37.3729156027942,36.0912458171263,3.42940807532846,38.4713829665945,1.98115973902207,0.931905168731311
2012,NEA,37.2648983034961,36.3071328146968,2.57015457549087,36.7575362988477,2.22164539794838,0.931126447016919
