periodo,indice_ipim
2012-01-01,100.0
2012-02-01,100.98773174460078
2012-03-01,102.18124093599342
2012-04-01,103.33751420844276
2012-05-01,104.39187865009994
2012-06-01,105.42664523968175
2012-07-01,106.44965311801826
2012-08-01,107.55105240465646
2012-09-01,108.74848116646416
2012-10-01,109.87339787559283
2012-11-01,110.97675694743856
2012-12-01,112.05463881158624
2013-01-01,113.19327401716772
2013-02-01,114.38874299376786
2013-03-01,115.54109669580212
2013-04-01,116.6503351232705
2013-05-01,118.11625445851135
2013-06-01,119.70564026182728
2013-07-01,121.06181162544584
2013-08-01,122.43170148551718
2013-09-01,123.77023478226785
2013-10-01,125.18128013169756
2013-11-01,126.70403323795712
2013-12-01,128.59522596323444
2014-01-01,134.9645278877435
2014-02-01,141.87669031474152
2014-03-01,145.32983185042917
2014-04-01,147.8285579900443
2014-05-01,150.5898953474699
2014-06-01,152.85736683259518
2014-07-01,154.91514130051348
2014-08-01,157.4432642182417
2014-09-01,159.95374906910203
2014-10-01,161.91353427664328
2014-11-01,163.3912123231294
2014-12-01,164.94728177791714
2015-01-01,165.2784854779916
2015-02-01,165.6900403715753
2015-03-01,167.31470230862698
2015-04-01,168.56112570062322
2015-05-01,171.0598518402383
2015-06-01,173.30968525849568
2015-07-01,175.8005722572806
2015-08-01,178.31105710814094
2015-09-01,180.71963312820915
2015-10-01,182.39524948065693
2015-11-01,184.12671971151963
2015-12-01,185.80233606396743
2016-01-01,202.12912005506035
2016-02-01,212.1321701088438
2016-03-01,217.3899371116264
2016-04-01,220.75654160804515
2016-05-01,228.72147473409126
2016-06-01,235.37797036085712
2016-07-01,241.93015996656783
2016-08-01,242.88562664747644
2016-09-01,243.92233505868856
2016-10-01,245.36938860346376
2016-11-01,248.3785540652336
2016-12-01,249.95800884671993
2017-01-01,253.70548558588908
2017-02-01,257.9421601314975
2017-03-01,260.32089514477235
2017-04-01,261.5248703200338
2017-05-01,263.7672779941017
2017-06-01,268.701510817532
2017-07-01,275.56594212040744
2017-08-01,280.85377994299546
2017-09-01,283.66183085363696
2017-10-01,287.82744307453964
2017-11-01,292.272405502209
2017-12-01,297.07139078318164
2018-01-01,310.64453847776554
2018-02-01,325.70308087048267
2018-03-01,332.0072870293801
2018-04-01,337.9605863593924
2018-05-01,363.33723027980847
2018-06-01,387.07150812132045
2018-07-01,405.38525404589325
2018-08-01,425.22568294815744
2018-09-01,493.4424339251877
2018-10-01,508.36570485285955
2018-11-01,508.91060868023453
2018-12-01,515.4144780005983
2019-01-01,518.3494058476297
2019-02-01,535.7860803334078
2019-03-01,557.7869887874244
2019-04-01,583.3471981762009
2019-05-01,612.2065383267325
2019-06-01,622.3267798396839
2019-07-01,622.8068240583332
2019-08-01,692.6447068504463
2019-09-01,721.5093663049352
2019-10-01,747.5669292099027
2019-11-01,787.8537453453675
2019-12-01,816.8923278555783
