Año,total_pagado,total_pagado_trabajo,porcentaje_trabajo
2012,501772.7385219891,2930.9939602511504,0.58
2013,582823.0194224295,2911.935889885603,0.5
2014,706975.6458934244,2752.400252436268,0.39
2015,776620.3985352078,3571.2282887458887,0.46
2016,884145.4533796709,2735.8363299803327,0.31
2017,907203.661786352,3558.2580471173833,0.39
2018,779877.8064739984,1760.246959583434,0.23
2019,704006.86140347,1534.6008802494541,0.22
