Año,total_pagado,total_pagado_trabajo,porcentaje_trabajo,promedio_trabajo
2012-2015,2568191.8023730507,12166.558391318911,0.47,3041.639597829728
2016-2019,3275233.7830434917,9588.942216930604,0.29,2397.235554232651
2012-2019,5843425.58541654,21755.500608249513,0.37,2719.437576031189
